日経会社コード,企業名称,決算期,決算種別,連結基準,<ヘッダー項目>決算月数,<ヘッダー項目>連結・単独フラグ,<ヘッダー項目>日経業種：コード,<ヘッダー項目>本社所在地：コード,<ヘッダー項目>本社所在地：日本語名称,<基本項目>事業年度開始年月日［累計］,<基本項目>連結子会社数,<基本項目>連結子会社数（うち上場会社数）,<基本項目>非連結子会社数,<基本項目>関連会社数,<貸借対照表（資産）>流動資産,<貸借対照表（資産）>売却目的保有資産,<貸借対照表（資産）>現金・預金／現金及び現金同等物,<貸借対照表（資産）>受取手形・売掛金／売掛金及びその他の短期債権,<貸借対照表（資産）>固定資産／非流動資産,<貸借対照表（資産）>有形固定資産,<貸借対照表（資産）>償却対象有形固定資産,<貸借対照表（資産）>建物・構築物,<貸借対照表（資産）>機械装置及び運搬具,<貸借対照表（資産）>工具・器具及び備品,<貸借対照表（資産）>リース資産,<貸借対照表（資産）>その他償却対象有形固定資産,<貸借対照表（資産）>建設仮勘定,<貸借対照表（資産）>土地・その他非償却対象有形固定資産,<貸借対照表（資産）>無形固定資産／無形資産,<貸借対照表（資産）>営業権,<貸借対照表（資産）>特許権・実用新案権,<貸借対照表（資産）>ソフトウェア,<貸借対照表（資産）>のれん,<貸借対照表（資産）>リース資産,<貸借対照表（資産）>商標権,<貸借対照表（資産）>意匠権,<貸借対照表（資産）>その他無形固定資産／その他無形資産,<貸借対照表（資産）>投資・その他の資産合計,<貸借対照表（資産）>投資有価証券・関係会社株式・出資金,<貸借対照表（資産）>長期貸付金,<貸借対照表（資産）>非連結子会社関連会社：長期貸付金,<貸借対照表（資産）>その他の投資・その他の資産／その他非流動資産,<貸借対照表（資産）>開発費（旧：開発費・試験研究費）,<貸借対照表（資産）>資産合計,<貸借対照表（負債）>流動負債,<貸借対照表（負債）>支払手形・買掛金／買掛金及びその他の短期債務,<貸借対照表（負債）>非連結子会社関連会社：支払手形・買掛金,<貸借対照表（負債）>短期借入金・社債合計,<貸借対照表（負債）>リース債務,<貸借対照表（負債）>未払金・未払費用,<貸借対照表（負債）>未払賞与・給与／短期従業員給付,<貸借対照表（負債）>未払法人税等,<貸借対照表（負債）>未払事業所税,<貸借対照表（負債）>未払消費税等,<貸借対照表（負債）>デリバティブ債務（負債）,<貸借対照表（負債）>賞与引当金,<貸借対照表（負債）>役員賞与引当金（未払役員報酬・賞与）,<貸借対照表（負債）>債務保証損失引当金,<貸借対照表（負債）>その他短期引当金,<貸借対照表（負債）>設備関係支払手形,<貸借対照表（負債）>設備関係未払金,<貸借対照表（負債）>資産除去債務,<貸借対照表（負債）>その他流動負債／その他の金融負債,<貸借対照表（負債）>固定負債／非流動負債,<貸借対照表（負債）>長期借入金・社債・転換社債,<貸借対照表（負債）>社債・転換社債,<貸借対照表（負債）>非連結子会社関連会社：長期借入金,<貸借対照表（負債）>長期支払手形,<貸借対照表（負債）>長期未払金,<貸借対照表（負債）>引当金合計,<貸借対照表（負債）>退職給付に係る負債（退職給付引当金）,<貸借対照表（負債）>負ののれん,<貸借対照表（負債）>その他固定負債／その他非流動負債／その他の負債,<貸借対照表（負債）>負債合計,<貸借対照表（純資産）>株主資本,<貸借対照表（純資産）>資本金,<貸借対照表（純資産）>資本剰余金,<貸借対照表（純資産）>利益剰余金,<貸借対照表（純資産）>非支配株主持分／非支配持分,<貸借対照表（純資産）>負債・純資産合計／資本及び負債合計,<貸借対照表（純資産）>自己資本／親会社の所有者に帰属する資本,<損益計算書（期首からの累計期間）>売上高・営業収益［累計］,<損益計算書（期首からの累計期間）>売上高・営業収益（うち金融収益）［累計］,<損益計算書（期首からの累計期間）>営業費用［累計］,<損益計算書（期首からの累計期間）>売上原価・営業原価［累計］,<損益計算書（期首からの累計期間）>割賦販売未実現利益・返品調整引当金差額／返品調整引当金差額［累計］,<損益計算書（期首からの累計期間）>売上総利益［累計］,<損益計算書（期首からの累計期間）>販売費及び一般管理費［累計］,<損益計算書（期首からの累計期間）>金融費用［累計］,<損益計算書（期首からの累計期間）>【ＩＦＲＳ】研究開発費［累計］,<損益計算書（期首からの累計期間）>【ＩＦＲＳ】持分法による投資損失［累計］,<損益計算書（期首からの累計期間）>【ＩＦＲＳ】営業利益に係るその他の費用［累計］,<損益計算書（期首からの累計期間）>営業利益［累計］,<損益計算書（期首からの累計期間）>収益合計（性質別分類）［累計］,<損益計算書（期首からの累計期間）>費用合計（性質別分類）［累計］,<損益計算書（期首からの累計期間）>営業外収益［累計］,<損益計算書（期首からの累計期間）>受取利息・配当金［累計］,<損益計算書（期首からの累計期間）>営業外費用［累計］,<損益計算書（期首からの累計期間）>支払利息・割引料［累計］,<損益計算書（期首からの累計期間）>為替差損［累計］,<損益計算書（期首からの累計期間）>租税公課［累計］,<損益計算書（期首からの累計期間）>のれん償却額［累計］,<損益計算書（期首からの累計期間）>その他営業外費用［累計］,<損益計算書（期首からの累計期間）>経常利益／税金等調整前当期純利益［累計］,<損益計算書（期首からの累計期間）>特別利益［累計］,<損益計算書（期首からの累計期間）>事業・組織再編関連利益［累計］,<損益計算書（期首からの累計期間）>有価証券売却益［累計］,<損益計算書（期首からの累計期間）>有価証券評価益［累計］,<損益計算書（期首からの累計期間）>その他資産処分益・評価益［累計］,<損益計算書（期首からの累計期間）>退職給付関連利益［累計］,<損益計算書（期首からの累計期間）>負ののれん発生益［累計］,<損益計算書（期首からの累計期間）>減損損失［累計］,<損益計算書（期首からの累計期間）>税金等調整前当期利益［累計］,<損益計算書（期首からの累計期間）>継続事業からの純利益［累計］,<損益計算書（期首からの累計期間）>非継続事業からの純利益［累計］,<損益計算書（期首からの累計期間）>当期純利益（連結）［累計］,<損益計算書（期首からの累計期間）>売上高・営業収益（日本基準）［累計］,<その他項目>期末従業員数,<その他項目>平均臨時従業員数,<その他項目>研究開発費［累計］,<その他項目>設備投資額［累計］,<その他項目>研究開発費［３ヵ月］,<その他項目>設備投資額［３ヵ月］,<その他項目>役員賞与・役員賞与引当金繰入,<その他項目>のれん・負ののれん償却額,<販売費及び一般管理費（期首からの累計期間）>【販管費】販売手数料［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】荷造・運搬・保管費［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】広告・宣伝費［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】拡販費・その他販売費［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】貸倒損失・貸倒引当金繰入額［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】役員報酬［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】役員退職慰労、役員退職慰労引当金繰入額［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】役員賞与引当金繰入額［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】人件費・福利厚生費［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】退職給付費用・退職給付引当金繰入額［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】減価償却費［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】のれん償却額［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】賃借料［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】租税公課［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】支払特許料［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】開発費・試験研究費［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】保証修理費［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】その他販売費及び一般管理費［累計］,<販売費及び一般管理費（期首からの累計期間）>【販管費】販売費及び一般管理費明細合計［累計］,<販売費及び一般管理費（四半期会計期間）>【販管費】販売手数料［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】荷造・運搬・保管費［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】広告・宣伝費［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】拡販費・その他販売費［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】貸倒損失・貸倒引当金繰入額［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】役員報酬［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】役員退職慰労引当金繰入額［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】役員賞与引当金繰入額［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】人件費・福利厚生費［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】退職給付費用・退職給付引当金繰入額［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】減価償却費［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】のれん償却額［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】賃借料［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】租税公課［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】支払特許料［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】開発費・試験研究費［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】保証修理費［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】その他販売費及び一般管理費［３ヵ月］,<販売費及び一般管理費（四半期会計期間）>【販管費】販売費及び一般管理費明細合計［３ヵ月］,<【更新中止】その他>従業員数（うち正社員）,<【更新中止】その他>従業員数（うち常勤嘱託）,<【更新中止】その他>従業員数（うち受入社員）,<【更新中止】その他>従業員数（うち休職者等）,<【更新中止】その他>従業員数（うち出向者）,<【更新中止】その他>従業員数（うちその他）
0031504,リンクアンドモチベーション,2016/12,10,3,12,2,271704,13,東京都,20160101,,,,,6747,,1082,4001,11785,1084,1083,749,,123,211,,,,5686,,,434,5202,,,,50,,,,,4457,,18532,9668,3566,,3223,112,235,,373,,1017,,272,,,,,,35,63,4084,3285,,,,,445,167,,,13752,,1380,2137,1952,,18532,4780,33321,,30965,21144,,12177,9577,,,,244,2468,,,,13,,71,,,,,2345,,,,,,,,24,,1760,43,1804,,1239,2848,,,,,,,,,896,,,,,,4432,,,,569,,,,,3678,9577,,,,,,,,,,,,,,,,,,,,,,,,,
0031504,リンクアンドモチベーション,2016/12,10,1,12,2,271704,13,東京都,20160101,18,,,,6974,,1082,4010,11797,896,896,594,,90,211,,,,6821,,,434,6336,,,,50,4079,2153,,,295,,18773,9120,273,,3224,112,2017,,373,,1017,,272,29,,26,,,35,226,3858,3293,,,,,,,,167,12979,5442,1380,2146,3289,,18773,5794,33917,,31993,21642,,12275,10350,,,,,1924,,,30,2,128,58,,,,69,1826,568,,480,,,,,24,2129,,,1353,,1239,2848,,554,,,,733,,,901,,,,,,3367,,,,,,,,,6082,10350,,,,,,,,,,,,,,,,,,,,,,,,,
0031504,リンクアンドモチベーション,2017/12,10,3,12,2,271704,13,東京都,20170101,20,,,,7589,,1654,4929,18180,1905,1904,1419,,292,192,1,,,8235,,,709,6701,,441,,383,,,,,6194,,25770,12129,4023,,4909,97,544,,883,,499,,295,,,,,,2,84,6942,5285,,,,,602,162,,108,19072,,1380,2137,3426,4,25770,6692,36894,,33659,23531,,13362,10041,,,,87,3365,,,,38,,132,,,,,3265,,,,,,,,34,,2096,,2096,,1397,3041,,1482,,,,,,,925,,,,,,4040,,,,923,,,,,4150,10041,,,,,,,,,,,,,,,,,,,,,,,,,
0031504,リンクアンドモチベーション,2017/12,10,1,12,2,271704,13,東京都,20170101,,,,,7796,,,,17041,1783,,,,,,,,,8375,,,,,,,,,6881,,,,,,24837,11500,,,,,,,,,,,,,,,,,,,6836,,,,,,,,,,18336,5855,,,,4,24837,6496,36887,,34385,23525,,13362,10860,,,,,2502,,,26,,155,,,,,,2373,111,,,,,,,,2204,,,1034,,1397,3041,,,,,,,,,,,,,,,,,,,,,,,,,10860,,,,,,,,,,,,,,,,,,,,,,,,,
0031504,リンクアンドモチベーション,2018/12,10,3,12,2,271704,13,東京都,20180101,20,,,,7817,,1979,4533,19847,1851,1848,1403,,239,188,18,,,8392,,,1108,6551,,422,,310,,,,,5908,,27664,12101,2394,,4657,92,390,,1077,,593,,260,,,,,,18,1651,7881,6342,,,,,435,,,261,19982,,1380,1989,4763,-15,27664,7696,39941,,36140,24290,,15651,11592,,,,258,3825,,,,28,,130,,,,,3387,,,,,,,,207,,,,1918,,1375,3563,,1047,,,,,,,969,,,,,,4722,,,,1012,,,,,4888,11592,,,,,,,,,,,,,,,,,,,,,,,,,
0031504,リンクアンドモチベーション,2019/12,10,3,12,2,271704,13,東京都,20190101,19,,,,11454,,2160,4114,33333,17400,17399,1185,,249,15965,,,,8022,,,1413,5927,,411,,270,,,,,4118,,44787,12831,2397,,4104,1839,12,,865,,479,,311,,,,,,21,1875,24922,9177,,,,,610,148,,,37754,,1380,1987,5440,-10,44787,7043,38191,,36354,23589,,14602,11773,,,,992,2007,,,,23,,168,,,,,1904,,,,,,,,959,,,,1090,,1391,5849,,1255,,,,,,,1208,,,,,,4786,,,,,,,,,5777,11773,,,,,,,,,,,,,,,,,,,,,,,,,
0031504,リンクアンドモチベーション,2020/12,10,3,12,2,271704,13,東京都,20200101,20,,,,11389,,6449,3680,29694,13953,13952,943,,219,12790,,,,11642,,,1356,9376,,369,,540,,,,,3289,,41083,15944,2174,,7440,1778,40,,484,,628,,386,,,,,,129,1930,20222,7104,,,,,698,138,,,36166,,1380,1855,3989,1157,41083,3760,35278,,35889,20624,,14653,12852,,,,2413,241,,,,17,,241,,,,,58,,,,,,,,2386,,,,-929,,1498,5332,,955,,,,,,,1155,,,,,,5405,,,,,,,,,6290,12852,,,,,,,,,,,,,,,,,,,,,,,,,
0004802,クロスキャット,2016/03,10,1,12,2,271704,13,東京都,20150401,1,,,,3346,,580,2502,1402,398,365,232,,130,,2,,32,270,,,58,209,,,,2,732,308,,,35,,4748,1894,487,,600,,,,97,,,,225,,,,,,,484,499,,,,,,391,391,,21,2394,2350,459,61,2065,,4748,2353,9396,,8880,7462,,1933,1417,,,,,515,,,23,6,1,1,,,,,537,,,,,,,,,537,,,352,,595,79,24,252,,,,25,,,,,,159,,,586,13,,25,128,,,,,504,1417,,,,,,,,,,,,,,,,,,,,,,,,,
0004802,クロスキャット,2017/03,10,1,12,2,271704,13,東京都,20160401,1,,,,3652,,912,2478,1381,350,317,212,,103,,1,,32,227,,,48,176,,,,2,803,506,,,39,,5033,1683,370,,500,,,,122,,,,203,,,,,,,487,508,,,,,,390,390,,27,2192,2667,459,61,2382,,5033,2841,10153,,9598,8185,,1967,1413,,,,,554,,,22,8,1,1,,,,,576,14,,14,,,,,,590,,,417,,600,79,15,40,,,,33,,,,,,205,,,611,16,,33,103,,,,,442,1413,,,,,,,,,,,,,,,,,,,,,,,,,
0004802,クロスキャット,2018/03,10,1,12,2,271704,13,東京都,20170401,1,,,,3975,,1240,2620,1522,317,284,197,,85,,,,32,184,,,35,142,,,,7,1020,644,,,37,,5497,1783,404,,400,,,,213,,,,220,,,2,,,,542,525,,,,,,413,413,,21,2308,2900,459,61,2729,,5497,3188,9713,,9008,7611,,2102,1397,,,,,704,,,35,12,,,,,,,739,,,,,,,,,735,,,473,,606,67,9,35,,,,33,,,,,,177,,,631,24,,33,105,,,,,425,1397,,,,,,,,,,,,,,,,,,,,,,,,,
0004802,クロスキャット,2019/03,10,1,12,2,271704,13,東京都,20180401,1,,,,4259,,1062,3074,1557,277,244,175,,68,,,,32,143,,,31,108,,,,2,1136,855,,,37,,5816,1558,360,,300,,,,163,,,,202,,,,,,,532,541,,,,,,428,428,,21,2100,3288,459,61,3118,,5816,3716,9769,,9053,7604,,2164,1448,,,,,715,,,30,13,1,,,,,,744,71,,9,,,,,,816,,,535,,602,64,11,32,,,,33,,,,,,183,,,635,23,,33,107,,,,,467,1448,,,,,,,,,,,,,,,,,,,,,,,,,
0004802,クロスキャット,2020/03,10,1,12,2,271704,13,東京都,20190401,1,,,,3741,,985,2648,1509,277,244,160,,66,18,,,32,229,,,150,75,,,,3,1002,681,,,38,,5251,1468,338,,300,3,,,150,,,,190,,,,,,,486,575,,,,,,441,441,,25,2044,2907,1000,,2969,,5251,3207,9674,,8953,7556,,2118,1396,,,,,721,,,41,17,,,,,,,762,,,,,,,,,762,,,495,,612,66,3,45,,,,33,,,,,,186,,,604,26,,33,109,,,,,438,1396,,,,,,,,,,,,,,,,,,,,,,,,,
0004802,クロスキャット,2021/03,10,1,12,2,271704,13,東京都,20200401,2,,,,4273,,1264,2885,2237,260,227,146,,66,15,,,32,583,,,159,366,,,,57,1393,958,,,124,,6510,2139,374,,800,3,,,156,,,,238,,,,,,,566,758,,,,,,566,566,,38,2898,3112,1000,,3174,,6510,3612,9626,,9132,7620,,2005,1511,,,,,493,,,48,19,1,1,,,,,539,54,,46,,,,,,594,,,369,,743,23,,198,,,,58,,,,,,205,,,659,37,,58,120,,,,,430,1511,,,,,,,,,,,,,,,,,,,,,,,,,
0030611,システナ,2016/03,10,1,12,2,271704,13,東京都,20150401,8,,,,19269,,6720,9901,3662,440,400,197,36,165,,2,6,30,40,,,38,,,,,2,3181,1115,,,50,,22932,9287,4773,,1550,,1254,,438,,293,,855,,,,,,,121,83,,,,,78,,,,4,9370,13340,1513,5397,9372,280,22932,13281,42695,,39522,34603,,8091,4919,,,,,3172,,,74,9,38,7,26,,,5,3208,5,,,,3,,,,3204,,,2265,,2367,258,163,233,,,,,,,,,,,,,1677,133,,,531,,,,,2578,4919,,,,,,,,,,,,,,,,,,,,,,,,,
0030611,システナ,2017/03,10,1,12,2,271704,13,東京都,20160401,11,,,,22352,,7713,10755,2854,595,557,248,24,283,,2,,36,30,,,28,,,,,2,2228,882,,,35,,25207,10184,5510,,1550,,1327,,460,,334,,845,,,13,,,,143,88,,,,,78,,,,9,10273,14704,1513,5397,10737,274,25207,14660,46255,,42561,37101,,9154,5460,,,,,3693,,,67,6,353,6,,,,23,3407,7,7,,,,,,18,3396,,,2192,,2585,257,153,372,,,,,,,,,,,,,1939,147,,,594,,,,,2780,5460,,,,,,,,,,,,,,,,,,,,,,,,,
0030611,システナ,2018/03,10,1,12,2,271704,13,東京都,20170401,10,,,,24126,,9320,12900,4298,529,491,227,30,229,,5,,36,113,,,110,,,,,2,3655,2082,,,33,,28424,11113,5259,,1550,,1507,,768,,642,,1108,,,,,,,276,91,,,,,78,,,,12,11204,17075,1513,5390,13326,293,28424,16927,54320,,49149,43505,,10815,5644,,,,,5170,,,61,2,84,6,,,,13,5147,,,,,,,,,5147,,,3561,,2793,233,68,231,,,,,,,,,,,,,2123,159,,,553,,,,,2809,5644,,,,,,,,,,,,,,,,,,,,,,,,,
0030611,システナ,2019/03,10,1,12,2,271704,13,東京都,20180401,10,,,,29166,,14376,13486,4738,588,550,232,34,280,,4,,36,307,,,305,,,,,2,3842,2312,,,32,,33904,13227,6056,,1550,,1547,,1853,,465,,1494,,,,,,,259,85,,,,,73,,,,11,13312,20416,1513,5390,16667,292,33904,20300,59742,,52839,46989,,12753,5850,,,,,6902,,,42,2,238,7,,,,8,6706,,,,,,,,,6699,,,4585,,3027,223,97,463,,,,,,,,,,,,,2269,158,,,566,,,,,2857,5850,,,,,,,,,,,,,,,,,,,,,,,,,
