期間,日経平均,TOPIX,東証2部総合,東証マザーズ,JASDAQ,株式コード,上場コード,銘柄名称,時価総額（発行済み株式数ベース）,決算月,発行済み株式数（権利落ベース）,日経平均採用区分,日経３００採用区分,日経５００採用区分,東証：上場日,ジャスダック：上場日,株式分割：発生フラグ,株式分割：確定日,株式分割：比率,株式併合：発生フラグ,株式併合：割当率：親株比率,株式併合：割当率：子株比率,株式併合：確定日,有償増資：発生フラグ,有償増資：割当率：親株比率,有償増資：割当率：子株比率,有償増資：割当日,有償増資：払込期日,無償増資：発生フラグ,無償増資：割当率：親株比率,無償増資：割当率：子株比率,無償増資：割当日,無償増資：割当率,減資：発生フラグ,減資：割当率：親株比率,減資：割当率：子株比率,減資：確定日,減資：割当率,直近配当額
2016/01,17518.3,1432.07,4482.16,831.34,108.93,2170,011,リンクアンドモチベーション,13002820000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.1
2016/02,16026.76,1297.85,4216.15,838.67,103.37,2170,011,リンクアンドモチベーション,13455092000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.1
2016/03,16758.67,1347.2,4381.42,1020.8,110.02,2170,011,リンクアンドモチベーション,16055656000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.25
2016/04,16666.05,1340.55,4292.72,1131.56,108.86,2170,011,リンクアンドモチベーション,15942588000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.25
2016/05,17234.98,1379.8,4393.47,1144.64,113.88,2170,011,リンクアンドモチベーション,17864744000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.25
2016/06,15575.92,1245.82,4136.33,1009.48,109.32,2170,011,リンクアンドモチベーション,23970416000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.25
2016/07,16569.27,1322.74,4259.21,920.4,112.23,2170,011,リンクアンドモチベーション,26118708000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.25
2016/08,16887.4,1329.54,4377.05,903.91,110.87,2170,011,リンクアンドモチベーション,27588592000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.25
2016/09,16449.84,1322.78,4426.12,948.17,113.4,2170,011,リンクアンドモチベーション,28606204000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.4
2016/10,17425.02,1393.02,4665.76,936.23,116.95,2170,011,リンクアンドモチベーション,35842556000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.4
2016/11,18308.48,1469.43,4842.05,922.48,119.87,2170,011,リンクアンドモチベーション,44435724000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.4
2016/12,19114.37,1518.61,5229.9,942.68,122.71,2170,011,リンクアンドモチベーション,48506172000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.4
2017/01,19041.34,1521.67,5428.37,993.84,127.72,2170,011,リンクアンドモチベーション,50428328000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.4
2017/02,19118.99,1535.32,5675.34,1059.31,132.48,2170,011,リンクアンドモチベーション,58682292000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.4
2017/03,18909.26,1512.6,5996.16,1070.89,133.41,2170,011,リンクアンドモチベーション,78582260000,12,113068000,,,,20071217,,,20140331,100,,0,0,,,0,0,,,,0,0,,,,0,0,,,1.5
