日経会社コード,株式コード,銘柄名（日本語）,銘柄名（英語）,収録開始期（引継ぎ株価）,収録終了期（引継ぎ株価）
nkcode,seccode,issuerka,issuere,date_begin,date_end
0000001,1301,極洋,"KYOKUYO CO., LTD.",1985/1/4,2021/7/30
0000002,1331,マルハニチロ食品,"NICHIRO CORP.",1985/1/4,2007/9/21
0000003,1332,日本水産,"NIPPON SUISAN KAISHA, LTD.",1985/1/4,2021/7/30
0000004,1333,マルハニチロ,"MARUHA NICHIRO CORP.",1985/1/4,2021/7/30
0000005,1351,宝幸,"HOKO FISHING CO., LTD.",1985/1/4,2002/7/25
0000006,1352,ホウスイ,"HOHSUI CORP.",1985/1/4,2021/7/30
0000011,1501,三井鉱山,"MITSUI MINING CO., LTD.",1985/1/4,2004/3/9
0000012,5238,三菱鉱業セメント,"MITSUBISHI MINING & CEMENT",1985/1/4,1990/11/22
0000013,1503,住石マテリアルズ,"SUMITOMO COAL MINING CO., LTD.",1985/1/4,2008/9/24
0000014,1505,北海道炭砿汽船,"HOKKAIDO COLLIERY & STEAMSHIP",1986/9/1,1995/2/22
0000015,9675,常磐興産,"JOBAN KOSAN CO., LTD.",1985/1/4,2021/7/30
0000016,8835,太平洋興発,"TAIHEIYO KOUHATSU INC.",1985/1/4,2021/7/30
0000021,7021,ニッチツ,"NITCHITSU CO., LTD.",1985/1/4,2021/7/30
0000022,1515,日鉄鉱業,"NITTETSU MINING CO., LTD.",1985/1/4,2021/7/30
0000023,1518,三井松島ホールディングス,"MITSUI MATSUSHIMA HOLDINGS CO., LTD.",1985/1/4,2021/7/30
0000025,1601,帝国石油,"TEIKOKU OIL CO., LTD.",1985/1/4,2006/3/27
0000026,1603,アラビア石油,"ARABIAN OIL CO., LTD.",1985/1/4,2003/1/23
0000027,1661,関東天然瓦斯開発,"KANTO NATURAL GAS DEVELOPMENT CO., LTD.",1985/1/4,2013/12/25
0000028,1701,昭和ＫＤＥ,"SHOWA KDE CO., LTD.",1985/1/4,2010/8/2
0000029,1702,共立マテリアル,"KCM CORP.",1985/1/4,2012/7/26
0000037,6816,アルパイン,"ALPINE ELECTRONICS, INC.",1988/3/15,2018/12/25
0000042,1491,中外鉱業,"CHUGAI MINING CO., LTD.",1985/1/4,2021/7/30
0000043,5715,古河機械金属,"FURUKAWA CO., LTD.",1985/1/4,2021/7/30
0000045,5706,三井金属鉱業,"MITSUI MINING & SMELTING CO.",1985/1/4,2021/7/30
0000046,5707,東邦亜鉛,"TOHO ZINC CO., LTD.",1985/1/4,2021/7/30
0000047,5711,三菱マテリアル,"MITSUBISHI MATERIALS CORP.",1985/1/4,2021/7/30
0000048,5014,ジャパンエナジー電子材料,"JAPAN ENERGY CORP.",1985/1/4,2002/9/18
0000049,5713,住友金属鉱山,"SUMITOMO METAL MINING CO., LTD.",1985/1/4,2021/7/30
0000050,5714,ＤＯＷＡホールディングス,"DOWA HOLDINGS CO., LTD.",1985/1/4,2021/7/30
0000053,1983,東芝プラントシステム,"TOSHIBA PLANT SYSTEMS & SERVICES CORP.",1985/1/4,2020/1/24
0000054,1932,ミライト・テクノロジーズ,"COMMUTURE CORP.",1985/1/4,2010/9/27
0000055,1934,ユアテック,"YURTEC CORP.",1985/1/4,2021/7/30
0000056,1982,日比谷総合設備,"HIBIYA ENGINEERING, LTD.",1985/1/4,2021/7/30
0000057,1937,西部電気工業,"SEIBU ELECTRIC IND. CO., LTD.",1985/1/4,2018/9/25
0000058,1940,つうけん,"TSUKEN CORP.",1986/8/30,2010/9/27
0000059,1867,植木組,"UEKI CORP.",1985/1/4,2021/7/30
0000060,1933,ＳＹＳＫＥＮ,"SYSKEN CORP.",1986/8/30,2018/9/25
0000061,1801,大成建設,"TAISEI CORP.",1985/1/4,2021/7/30
0000062,1802,大林組,"OBAYASHI CORP.",1985/1/4,2021/7/30
0000063,1803,清水建設,"SHIMIZU CORP.",1985/1/4,2021/7/30
0000064,1804,佐藤工業,"SATO KOGYO CO., LTD.",1985/1/4,2002/6/3
0000065,1805,飛島建設,"TOBISHIMA CORP.",1985/1/4,2021/7/30
0000066,1806,ＡＣリアルエステート,"AC REAL ESTATE CORP.",1985/1/4,2002/12/5
0000067,1808,長谷工コーポレーション,"HASEKO CORP.",1985/1/4,2021/7/30
0000068,1809,冨士工,"FUJIKO CO., LTD.",1985/1/4,2001/6/22
0000069,1810,松井建設,"MATSUI CONST. CO., LTD.",1985/1/4,2021/7/30
0000070,1811,銭高組,"THE ZENITAKA CORP.",1985/1/4,2021/7/30
0000071,1812,鹿島,"KAJIMA CORP.",1985/1/4,2021/7/30
0000072,1813,不動テトラ,"FUDO TETRA CORP.",1985/1/4,2021/7/30
0000073,1814,大末建設,"DAISUE CONST. CO., LTD.",1985/1/4,2021/7/30
0000074,1815,鉄建建設,"TEKKEN CORP.",1985/1/4,2021/7/30
0000075,1816,安藤建設,"ANDO CORP.",1985/1/4,2013/3/26
0000076,1817,ＫＣ,"KATSUMURA CONST. CO., LTD.",1985/1/4,2005/10/28
0000077,1818,日産建設,"NISSAN CONST. CO., LTD.",1985/1/4,2002/6/28
0000078,1819,日鉄テックスエンジ,"NIPPON STEEL & SUMIKIN TEXENG. CO., LTD.",1985/1/4,2015/7/28
0000079,1820,西松建設,"NISHIMATSU CONST. CO., LTD.",1985/1/4,2021/7/30
0000080,1821,三井住友建設,"SUMITOMO MITSUI CONSTRUCTION CO., LTD.",1985/1/4,2021/7/30
0000081,1822,大豊建設,"DAIHO CORP.",1985/1/4,2021/7/30
0000082,1823,住友建設,"SUMITOMO CONST. CO., LTD.",1985/1/4,2003/3/25
0000083,1824,前田建設工業,"MAEDA CORP.",1985/1/4,2021/7/30
0000084,1825,環境建設,"ECO-TECH CONSTRUCTION CO., LTD.",1985/1/4,2004/4/28
0000085,1826,佐田建設,"SATA CONSTRUCTION CO., LTD.",1985/1/4,2021/7/30
0000086,1827,ナカノフドー建設,"NAKANO CORP.",1985/1/4,2021/7/30
0000087,9764,技研興業,"GIKEN KOGYO CO., LTD.",1985/1/4,2017/12/28
0000088,1829,大和建設,"DAIWA CONSTRUCTION CO., LTD.",1985/1/4,2003/6/2
0000089,1832,岡崎工業,"OKAZAKI KOGYO CO., LTD.",1985/1/4,1990/9/21
0000090,1833,奥村組,"OKUMURA CORP.",1985/1/4,2021/7/30
0000091,1834,大和小田急建設,"DAIWA ODAKYU CONSTRUCTION CO., LTD.",1985/1/4,2015/7/28
0000092,1835,東鉄工業,"TOTETSU KOGYO CO., LTD.",1985/1/4,2021/7/30
0000093,1836,大日本土木,"DAI NIPPON CONSTRUCTION",1985/1/4,2002/10/4
0000094,1837,青山管財,"HAZAMA CORP.",1985/1/4,2003/9/24
0000095,1838,古久根建設,"KOKUNE CORP.",1985/1/4,2002/12/13
0000096,1839,真柄建設,"MAGARA CONST. CO., LTD.",1985/1/4,2008/8/5
0000097,1842,島藤建設工業,"SHIMATO CONSTRUCTION",1985/1/4,1987/3/24
0000098,1843,多田建設,"TADA CORP.",1985/1/4,1997/10/30
0000099,1845,森本組,"MORIMOTO CORP.",1985/1/4,2003/10/31
