corp_name,fiscal_date,fiscal_year,fiscal_month,n_fiscal,nikkei_code,address_code,address_name,founded_date,n_consolidated_subsidiaries,n_consolidated_subsidiaries_ipo,current_assets,cash_and_cash_equivalents,non-current_assets,tangible_fixed_assets,intangible_fixed_assets,sales_goodwill,patent_right,software,goodwill,leased_asset,trademark,design_right,other_intangible_fixed_assets,total_investment_and_other_assets,development_cost,total_assets,current_liabilities,non-current_liabilities,total_debt,non-controlling_interests,total_liabilities_and_net_assets,capital_attributable_to_owners_of_the_parent_company,sales_operating_revenue,financial_income,sales_cost,sales_operating_cost,unrealized_profit_on_installment_sales,financial_costs,sga,sga_sales_commission,sga_storage_costs,sga_advertising_expenses,sga_sales_expansion_costs,sga_allowance_for_doubtful_accounts,sga_officer_compensation,sga_provision_for_retirement_benefits_for_officers,sga_provision_for_bonuses_for_directors,sga_personnel_welfare_expenses,sga_provision_for_retirement_benefits,sga_depreciation,sga_goodwill_amortization,sga_rent,sga_taxes_and_public_dues,sga_patent_fee_paid,sga_rd_cost,sga_warranty_repair_costs,sga_other,gross_profit,rd_expenses,operating_income,Non-operating_income,Non-operating_cost,ordinary_profit,income_before_income_taxes,net_income_from_continuing_operations,net_income_from_non-continuing_operations,net_income_consolidated,employees_end_term,avg_temp_employees,r_d_expenses,capital_investment,officer_bonus_provision,goodwill_amortization
リンクアンドモチベーション,2016/12,2016,12,12,271704,13,東京都,20160101,NA,NA,6747,1082,11785,1084,5686,NA,NA,434,5202,NA,NA,NA,50,NA,NA,18532,9668,4084,13752,NA,18532,4780,33321,NA,30965,21144,NA,NA,9577,NA,NA,896,NA,NA,NA,NA,NA,4432,NA,NA,NA,569,NA,NA,NA,NA,3678,12177,NA,2468,NA,NA,2345,NA,1760,43,1804,1239,2848,NA,NA,NA,NA
リンクアンドモチベーション,2016/12,2016,12,12,271704,13,東京都,20160101,18,NA,6974,1082,11797,896,6821,NA,NA,434,6336,NA,NA,NA,50,4079,NA,18773,9120,3858,12979,NA,18773,5794,33917,NA,31993,21642,NA,NA,10350,NA,NA,901,NA,NA,NA,NA,NA,3367,NA,NA,NA,NA,NA,NA,NA,NA,6082,12275,NA,1924,30,128,1826,2129,NA,NA,1353,1239,2848,NA,554,NA,733
リンクアンドモチベーション,2017/12,2017,12,12,271704,13,東京都,20170101,20,NA,7589,1654,18180,1905,8235,NA,NA,709,6701,NA,441,NA,383,NA,NA,25770,12129,6942,19072,4,25770,6692,36894,NA,33659,23531,NA,NA,10041,NA,NA,925,NA,NA,NA,NA,NA,4040,NA,NA,NA,923,NA,NA,NA,NA,4150,13362,NA,3365,NA,NA,3265,NA,2096,NA,2096,1397,3041,NA,1482,NA,NA
リンクアンドモチベーション,2017/12,2017,12,12,271704,13,東京都,20170101,NA,NA,7796,NA,17041,1783,8375,NA,NA,NA,NA,NA,NA,NA,NA,6881,NA,24837,11500,6836,18336,4,24837,6496,36887,NA,34385,23525,NA,NA,10860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13362,NA,2502,26,155,2373,2204,NA,NA,1034,1397,3041,NA,NA,NA,NA
リンクアンドモチベーション,2018/12,2018,12,12,271704,13,東京都,20180101,20,NA,7817,1979,19847,1851,8392,NA,NA,1108,6551,NA,422,NA,310,NA,NA,27664,12101,7881,19982,-15,27664,7696,39941,NA,36140,24290,NA,NA,11592,NA,NA,969,NA,NA,NA,NA,NA,4722,NA,NA,NA,1012,NA,NA,NA,NA,4888,15651,NA,3825,NA,NA,3387,NA,NA,NA,1918,1375,3563,NA,1047,NA,NA
リンクアンドモチベーション,2019/12,2019,12,12,271704,13,東京都,20190101,19,NA,11454,2160,33333,17400,8022,NA,NA,1413,5927,NA,411,NA,270,NA,NA,44787,12831,24922,37754,-10,44787,7043,38191,NA,36354,23589,NA,NA,11773,NA,NA,1208,NA,NA,NA,NA,NA,4786,NA,NA,NA,NA,NA,NA,NA,NA,5777,14602,NA,2007,NA,NA,1904,NA,NA,NA,1090,1391,5849,NA,1255,NA,NA
リンクアンドモチベーション,2020/12,2020,12,12,271704,13,東京都,20200101,20,NA,11389,6449,29694,13953,11642,NA,NA,1356,9376,NA,369,NA,540,NA,NA,41083,15944,20222,36166,1157,41083,3760,35278,NA,35889,20624,NA,NA,12852,NA,NA,1155,NA,NA,NA,NA,NA,5405,NA,NA,NA,NA,NA,NA,NA,NA,6290,14653,NA,241,NA,NA,58,NA,NA,NA,-929,1498,5332,NA,955,NA,NA
クロスキャット,2016/03,2016,3,12,271704,13,東京都,20150401,1,NA,3346,580,1402,398,270,NA,NA,58,209,NA,NA,NA,2,732,NA,4748,1894,499,2394,NA,4748,2353,9396,NA,8880,7462,NA,NA,1417,NA,NA,NA,NA,NA,159,NA,NA,586,13,NA,25,128,NA,NA,NA,NA,504,1933,NA,515,23,1,537,537,NA,NA,352,595,79,24,252,NA,25
クロスキャット,2017/03,2017,3,12,271704,13,東京都,20160401,1,NA,3652,912,1381,350,227,NA,NA,48,176,NA,NA,NA,2,803,NA,5033,1683,508,2192,NA,5033,2841,10153,NA,9598,8185,NA,NA,1413,NA,NA,NA,NA,NA,205,NA,NA,611,16,NA,33,103,NA,NA,NA,NA,442,1967,NA,554,22,1,576,590,NA,NA,417,600,79,15,40,NA,33
クロスキャット,2018/03,2018,3,12,271704,13,東京都,20170401,1,NA,3975,1240,1522,317,184,NA,NA,35,142,NA,NA,NA,7,1020,NA,5497,1783,525,2308,NA,5497,3188,9713,NA,9008,7611,NA,NA,1397,NA,NA,NA,NA,NA,177,NA,NA,631,24,NA,33,105,NA,NA,NA,NA,425,2102,NA,704,35,NA,739,735,NA,NA,473,606,67,9,35,NA,33
クロスキャット,2019/03,2019,3,12,271704,13,東京都,20180401,1,NA,4259,1062,1557,277,143,NA,NA,31,108,NA,NA,NA,2,1136,NA,5816,1558,541,2100,NA,5816,3716,9769,NA,9053,7604,NA,NA,1448,NA,NA,NA,NA,NA,183,NA,NA,635,23,NA,33,107,NA,NA,NA,NA,467,2164,NA,715,30,1,744,816,NA,NA,535,602,64,11,32,NA,33
クロスキャット,2020/03,2020,3,12,271704,13,東京都,20190401,1,NA,3741,985,1509,277,229,NA,NA,150,75,NA,NA,NA,3,1002,NA,5251,1468,575,2044,NA,5251,3207,9674,NA,8953,7556,NA,NA,1396,NA,NA,NA,NA,NA,186,NA,NA,604,26,NA,33,109,NA,NA,NA,NA,438,2118,NA,721,41,NA,762,762,NA,NA,495,612,66,3,45,NA,33
クロスキャット,2021/03,2021,3,12,271704,13,東京都,20200401,2,NA,4273,1264,2237,260,583,NA,NA,159,366,NA,NA,NA,57,1393,NA,6510,2139,758,2898,NA,6510,3612,9626,NA,9132,7620,NA,NA,1511,NA,NA,NA,NA,NA,205,NA,NA,659,37,NA,58,120,NA,NA,NA,NA,430,2005,NA,493,48,1,539,594,NA,NA,369,743,23,NA,198,NA,58
システナ,2016/03,2016,3,12,271704,13,東京都,20150401,8,NA,19269,6720,3662,440,40,NA,NA,38,NA,NA,NA,NA,2,3181,NA,22932,9287,83,9370,280,22932,13281,42695,NA,39522,34603,NA,NA,4919,NA,NA,NA,NA,NA,NA,NA,NA,1677,133,NA,NA,531,NA,NA,NA,NA,2578,8091,NA,3172,74,38,3208,3204,NA,NA,2265,2367,258,163,233,NA,NA
システナ,2017/03,2017,3,12,271704,13,東京都,20160401,11,NA,22352,7713,2854,595,30,NA,NA,28,NA,NA,NA,NA,2,2228,NA,25207,10184,88,10273,274,25207,14660,46255,NA,42561,37101,NA,NA,5460,NA,NA,NA,NA,NA,NA,NA,NA,1939,147,NA,NA,594,NA,NA,NA,NA,2780,9154,NA,3693,67,353,3407,3396,NA,NA,2192,2585,257,153,372,NA,NA
システナ,2018/03,2018,3,12,271704,13,東京都,20170401,10,NA,24126,9320,4298,529,113,NA,NA,110,NA,NA,NA,NA,2,3655,NA,28424,11113,91,11204,293,28424,16927,54320,NA,49149,43505,NA,NA,5644,NA,NA,NA,NA,NA,NA,NA,NA,2123,159,NA,NA,553,NA,NA,NA,NA,2809,10815,NA,5170,61,84,5147,5147,NA,NA,3561,2793,233,68,231,NA,NA
システナ,2019/03,2019,3,12,271704,13,東京都,20180401,10,NA,29166,14376,4738,588,307,NA,NA,305,NA,NA,NA,NA,2,3842,NA,33904,13227,85,13312,292,33904,20300,59742,NA,52839,46989,NA,NA,5850,NA,NA,NA,NA,NA,NA,NA,NA,2269,158,NA,NA,566,NA,NA,NA,NA,2857,12753,NA,6902,42,238,6706,6699,NA,NA,4585,3027,223,97,463,NA,NA
