会計freee,freee株式会社,IT/通信/インターネット系,東京都品川区西五反田２－８－１ 五反田ファーストビル９Ｆ,,,501～1000人,,,"['経費精算freee', 'クラウドERP freee', '人事労務 freee', '【BOXILEXPO】freee株式会社_労務勤怠_人事労務freee,クラウドERP freee']"
弥生会計 オンライン,弥生株式会社,IT/通信/インターネット系,東京都千代田区外神田4-14-1 秋葉原UDX 21F,5000万円,岡本浩一郎,501～1000人,,1978年,"['Misoca', 'やよいの白色申告 オンライン ・ やよいの青色申告 オンライン', 'やよいの給与明細 オンライン']"
マネーフォワード クラウド会計,株式会社マネーフォワード,IT/通信/インターネット系,東京都港区芝浦３－１－２１田町ステーションタワーＳ,"1,865百万円",辻 庸介,301～500人,,2012年5月,['マネーフォワード クラウドERP']
やよいの白色申告 オンライン ・ やよいの青色申告 オンライン,弥生株式会社,IT/通信/インターネット系,東京都千代田区外神田4-14-1 秋葉原UDX 21F,5000万円,岡本浩一郎,501～1000人,,1978年,"['弥生会計 オンライン', 'Misoca', 'やよいの給与明細 オンライン']"
勘定奉行クラウド,株式会社オービックビジネスコンサルタント,IT/通信/インターネット系,東京都新宿区西新宿6-8-1住友不動産オークタワー32F,"10,519,000,000円",和田　成史,501～1000人,,1981年7月,['給与奉行クラウド']
ネットde記帳,,,,,,,,,
Zoho Books,ゾーホージャパン株式会社,IT/通信/インターネット系,神奈川県横浜市西区みなとみらい三丁目6番1号,"9,000万円 （シンガポールZoho Corporation Pte. Ltd 100%）",Manikandan Thangaraj,1000人以上,,2001年9月,"['Zoho CRM', 'Zoho Desk', 'Zoho Campaigns', 'Zoho SalesIQ', 'Zoho Social', 'Zoho Projects', 'Zoho Survey', 'Zoho Analytics', 'Zoho Writer', 'Zoho Wiki', 'Zoho Forms', 'Zoho Invoice', 'Zoho Assist', 'Zoho Creator']"
Bill One,Ｓａｎｓａｎ株式会社,IT/通信/インターネット系,東京都渋谷区神宮前５－５２－２　青山オーバルビル　１３Ｆ,資本金62億36百万円（2020年5月31日時点）,寺田 親弘,501～1000人,https://jp.sansan.com/,2007年6月,[]
マネーフォワード クラウドERP,株式会社マネーフォワード,IT/通信/インターネット系,東京都港区芝浦３－１－２１田町ステーションタワーＳ,"1,865百万円",辻 庸介,301～500人,,2012年5月,['マネーフォワード クラウド会計']
Oracle NetSuite,トライフォース・グローバル・ソリューションズ株式会社,IT/通信/インターネット系,東京都渋谷区東3-17-11 9F,,ロジャー　キャン,11～30人,"https://triforcegs.co,jp",2007年1月,[]
FX4クラウド,,,,,,,,,
クラウド発展会計,,,,,,,,,
会計freee,freee株式会社,IT/通信/インターネット系,東京都品川区西五反田２－８－１ 五反田ファーストビル９Ｆ,,,501～1000人,,,"['経費精算freee', 'クラウドERP freee', '人事労務 freee', '【BOXILEXPO】freee株式会社_労務勤怠_人事労務freee,クラウドERP freee']"
弥生会計 オンライン,弥生株式会社,IT/通信/インターネット系,東京都千代田区外神田4-14-1 秋葉原UDX 21F,5000万円,岡本浩一郎,501～1000人,,1978年,"['Misoca', 'やよいの白色申告 オンライン ・ やよいの青色申告 オンライン', 'やよいの給与明細 オンライン']"
マネーフォワード クラウド会計,株式会社マネーフォワード,IT/通信/インターネット系,東京都港区芝浦３－１－２１田町ステーションタワーＳ,"1,865百万円",辻 庸介,301～500人,,2012年5月,['マネーフォワード クラウドERP']
やよいの白色申告 オンライン ・ やよいの青色申告 オンライン,弥生株式会社,IT/通信/インターネット系,東京都千代田区外神田4-14-1 秋葉原UDX 21F,5000万円,岡本浩一郎,501～1000人,,1978年,"['弥生会計 オンライン', 'Misoca', 'やよいの給与明細 オンライン']"
勘定奉行クラウド,株式会社オービックビジネスコンサルタント,IT/通信/インターネット系,東京都新宿区西新宿6-8-1住友不動産オークタワー32F,"10,519,000,000円",和田　成史,501～1000人,,1981年7月,['給与奉行クラウド']
ネットde記帳,,,,,,,,,
Zoho Books,ゾーホージャパン株式会社,IT/通信/インターネット系,神奈川県横浜市西区みなとみらい三丁目6番1号,"9,000万円 （シンガポールZoho Corporation Pte. Ltd 100%）",Manikandan Thangaraj,1000人以上,,2001年9月,"['Zoho CRM', 'Zoho Desk', 'Zoho Campaigns', 'Zoho SalesIQ', 'Zoho Social', 'Zoho Projects', 'Zoho Survey', 'Zoho Analytics', 'Zoho Writer', 'Zoho Wiki', 'Zoho Forms', 'Zoho Invoice', 'Zoho Assist', 'Zoho Creator']"
Bill One,Ｓａｎｓａｎ株式会社,IT/通信/インターネット系,東京都渋谷区神宮前５－５２－２　青山オーバルビル　１３Ｆ,資本金62億36百万円（2020年5月31日時点）,寺田 親弘,501～1000人,https://jp.sansan.com/,2007年6月,[]
マネーフォワード クラウドERP,株式会社マネーフォワード,IT/通信/インターネット系,東京都港区芝浦３－１－２１田町ステーションタワーＳ,"1,865百万円",辻 庸介,301～500人,,2012年5月,['マネーフォワード クラウド会計']
Oracle NetSuite,トライフォース・グローバル・ソリューションズ株式会社,IT/通信/インターネット系,東京都渋谷区東3-17-11 9F,,ロジャー　キャン,11～30人,"https://triforcegs.co,jp",2007年1月,[]
FX4クラウド,,,,,,,,,
クラウド発展会計,,,,,,,,,
フリーウェイ経理Pro,,,,,,,,,
GrowOne Cube 会計,,,,,,,,,
GLOVIA smart 会計SaaS,,,,,,,,,
大蔵大臣NX,,,,,,,,,
クラウドERP freee,freee株式会社,IT/通信/インターネット系,東京都品川区西五反田２－８－１ 五反田ファーストビル９Ｆ,,,501～1000人,,,"['会計freee', '経費精算freee', '人事労務 freee', '【BOXILEXPO】freee株式会社_労務勤怠_人事労務freee,クラウドERP freee']"
PCA会計クラウド,ピー・シー・エー株式会社,IT/通信/インターネット系,東京都千代田区富士見1-2-21　PCAビル,8億9040万円,佐藤　文昭,301～500人,,1980年8月,['PCA給与DXクラウド']
助ネコ　Web領収書,株式会社アクアリーフ,IT/通信/インターネット系,神奈川県平塚市八重咲町7-28 神奈中八重咲町ビル4F,"1,000万円",長谷川 智史,11～30人,http://www.aqualeaf.co.jp,2001年6月,"['助ネコ 在庫管理', '助ネコ 受注管理', '助ネコ 商品登録']"
マネーフォワード クラウド会計Plus,株式会社マネーフォワード,IT/通信/インターネット系,東京都港区芝浦3-1-21 msbTamachi田町ステーションタワーS 21F,,辻庸介,501～1000人,,2012年5月,['Manageboard']
ジョブカン会計,株式会社DONUTS,IT/通信/インターネット系,東京都渋谷区代々木2丁目2-1 小田急サザンタワー8階 【大阪オフィス】大阪府大阪市浪速区元町1-5−7 ナンバプラザビル,"7,777万円",西村 啓成,301～500人,http://www.donuts.ne.jp/,2007年2月,"['ジョブカン勤怠管理', 'ジョブカンワークフロー', 'ジョブカン経費精算', 'ジョブカン採用管理', 'ジョブカン労務HR', 'ジョブカン給与計算', 'ジョブカンApps']"
LayerX インボイス,株式会社LayerX,IT/通信/インターネット系,東京都中央区東日本橋2-7-1 FRONTIER東日本橋7階,31億円,福島 良典,31～50人,https://layerx.co.jp/,2018年8月,"['LayerX インボイス', '【BOXIL EXPO】株式会社LayerX＿LayerXインボイス']"
マネーフォワード クラウド請求書,株式会社マネーフォワード,IT/通信/インターネット系,東京都港区芝,約86億円,辻 庸介,501～1000人,,2012年5月,"['マネーフォワード クラウド経費', 'マネーフォワード クラウド給与', 'マネーフォワードクラウド勤怠', '【BOXILEXPO】株式会社マネーフォワード_マネーフォワードクラウド人事向け', '【BOXILEXPO】株式会社マネーフォワード_マネーフォワードクラウド財務向け', '【BOXILEXPO】株式会社マネーフォワード_労務・勤怠管理サービス_ マネーフォワード給与・勤怠', 'マネーフォワード クラウド給与', 'マネーフォワード クラウド人事管理', 'マネーフォワード クラウド社会保険', 'マネーフォワード クラウド年末調整']"
Misoca,弥生株式会社,IT/通信/インターネット系,東京都千代田区外神田4-14-1 秋葉原UDX 21F,5000万円,岡本浩一郎,501～1000人,,1978年,"['弥生会計 オンライン', 'やよいの白色申告 オンライン ・ やよいの青色申告 オンライン', 'やよいの給与明細 オンライン']"
