日経会社コード,企業名称,決算期,決算種別,連結基準,<基本項目>１株当たり利益［累計］,<基本項目>１株当たり純資産,<貸借対照表（資産）>流動資産,<貸借対照表（負債）>流動負債,<貸借対照表（純資産）>純資産合計／資本合計,<貸借対照表（純資産）>株主資本,<貸借対照表（純資産）>資本金,<損益計算書（期首からの累計期間）>売上高・営業収益［累計］,<損益計算書（期首からの累計期間）>売上高・営業収益（うち金融収益）［累計］,<損益計算書（期首からの累計期間）>営業費用［累計］,<損益計算書（期首からの累計期間）>売上原価・営業原価［累計］,<損益計算書（期首からの累計期間）>割賦販売未実現利益・返品調整引当金差額／返品調整引当金差額［累計］,<損益計算書（期首からの累計期間）>売上総利益［累計］,<損益計算書（期首からの累計期間）>販売費及び一般管理費［累計］,<損益計算書（期首からの累計期間）>金融費用［累計］,<損益計算書（期首からの累計期間）>営業利益［累計］,<損益計算書（期首からの累計期間）>収益合計（性質別分類）［累計］,<損益計算書（期首からの累計期間）>費用合計（性質別分類）［累計］,<損益計算書（期首からの累計期間）>営業外収益［累計］,<損益計算書（期首からの累計期間）>受取利息・配当金［累計］,<損益計算書（期首からの累計期間）>有価証券売却益［累計］,<損益計算書（期首からの累計期間）>有価証券評価益［累計］,<損益計算書（期首からの累計期間）>デリバティブ評価益［累計］,<損益計算書（期首からの累計期間）>その他資産処分益・評価益［累計］,<損益計算書（期首からの累計期間）>営業外費用［累計］
0000001,極洋,2014/03,10,1,28.26,187.57,63033,41031,19930,20954,5664,202387,,199471,181075,,21311,18396,,2915,,,519,166,,,,,449
0000001,極洋,2015/03,10,1,23.17,215.65,69860,46460,23069,22202,5664,218350,,215890,198009,,20341,17881,,2460,,,674,199,,,,,1026
0000001,極洋,2016/03,10,1,17.13,214.97,70426,40835,23065,23405,5664,226626,,224191,205854,,20771,18337,,2433,,,698,114,,,,,317
0000001,極洋,2017/03,10,1,230.66,2378.09,72351,45195,25391,25301,5664,236561,,232836,213292,,23268,19544,,3723,,,764,100,,,,,779
0000001,極洋,2018/03,10,1,304.29,2679,81218,52100,29243,28828,5664,254783,,250716,231180,,23603,19536,,4066,,,809,104,,,,,438
0000001,極洋,2019/03,10,1,269.63,2941.26,89425,54730,31996,31346,5664,256151,,252319,232446,,23705,19873,,3831,,,1123,136,,,,,520
0000003,日本水産,2014/03,10,1,14.47,254.6,209717,196247,87757,60813,23729,604249,,590317,480237,,124011,110080,,13931,,,3734,1584,454,,,,5306
0000003,日本水産,2015/03,10,1,38.22,326.38,231722,212327,109111,69536,23729,638435,,620324,505715,,132720,114609,,18110,,,7470,1410,1627,,,,4189
0000003,日本水産,2016/03,10,1,44.55,343.6,217459,212345,114030,81282,23729,637164,,617721,504406,,132758,113315,,19442,,,5829,1267,1170,,,,4575
0000003,日本水産,2017/03,10,1,48.02,388.38,233087,216236,141205,108163,30685,635953,,613305,501371,,134581,111934,,22646,,,5968,1124,832,,,,3730
0000003,日本水産,2018/03,10,1,55.33,442.13,253155,212869,157106,123305,30685,677293,,654051,537301,,139991,116750,,23240,,,3606,1115,,,,,2263
0000003,日本水産,2019/03,10,1,49.41,470.28,247603,202699,166158,135960,30685,712111,,690424,573385,,138725,117039,,21685,,,5559,1016,,,,,1887
0000004,マルハニチロ,2014/03,10,1,12.43,101.49,101924,68006,31492,33345,5000,264449,,258993,234074,,30375,24919,,5456,,,2817,182,,,,,1648
0000004,マルハニチロ,2015/03,10,1,145.51,1688.6,274433,248823,109177,78567,20000,863784,,855097,756410,,107373,98687,,8686,,,7627,936,,,,,4479
0000004,マルハニチロ,2016/03,10,1,77.83,1618.5,266043,252005,105666,79610,20000,884811,,867838,768242,,116568,99596,,16972,,,4833,964,,,,,4682
0000004,マルハニチロ,2017/03,10,1,293.44,1912.54,278970,226214,122820,93511,20000,873295,,846987,746954,,126341,100033,,26308,,,4344,1215,,,,,2778
0000004,マルハニチロ,2018/03,10,1,305.95,2193.8,292184,219762,140049,107169,20000,918820,,894322,793705,,125115,100617,,24497,,,5816,1154,,,,,2397
0000004,マルハニチロ,2019/03,10,1,317.24,2381.96,299359,203792,150379,121739,20000,922468,,900709,798618,,123849,102091,,21758,,,5871,959,,,,,2397
