日経会社コード,企業名称,決算期,決算種別,連結基準,<貸借対照表（資産）>資産合計,<損益計算書（期首からの累計期間）>売上高・営業収益［累計］,<基本項目>純資産配当率［累計］,<貸借対照表（負債）>短期借入金・社債合計,<貸借対照表（負債）>長期借入金・社債・転換社債,<貸借対照表（純資産）>自己資本／親会社の所有者に帰属する資本,<貸借対照表（純資産）>資本金,<貸借対照表（純資産）>負債・純資産合計／資本及び負債合計,<損益計算書（期首からの累計期間）>税金等調整前当期純利益［累計］,<損益計算書（期首からの累計期間）>当期純利益（連結）［累計］,<【更新中止】連結剰余金計算書>（当期純利益）,<基本項目>期末発行済株式総数,<基本項目>期末発行済株式総数（遡及調整後）,<貸借対照表（純資産）>新株予約権,<貸借対照表（純資産）>純資産合計／資本合計,<貸借対照表（負債）>少数株主持分（米国会計基準）
0000169,オオバ,2020/05,10,0,12586,14580,,60,60,8159,2131,12586,1138,,,18250000,,230,8389,
0000740,リソルホールディングス,2020/03,10,0,32157,4763,,6383,10816,7540,3948,32157,387,,,5564200,,,7540,
0001516,任天堂,2020/03,10,0,1367766,1076852,,,,1051147,10065,1367766,297080,,,131669000,,,1051147,
0001636,日本ユニシス,2020/03,10,0,167588,178966,,5617,15717,103254,5483,167588,19609,,,109663524,,491,103745,
0001720,東天紅,2020/02,10,0,12714,6777,,479,579,10008,2572,12714,-226,,,2572871,,,10008,
0001722,丸紅建材リース,2020/03,10,0,30349,19466,,5280,3655,11461,2651,30349,872,,,3429440,,,11461,
0001724,ロイヤルホールディングス,2020/12,10,0,58676,5360,,27452,2695,22962,13676,58676,-11644,,,39554189,,,22962,
0001756,ジェコス,2020/03,10,0,88830,102850,,,4070,48066,4398,88830,5578,,,36436125,,,48066,
0001764,日本空調サービス,2020/03,10,0,24768,35400,,1276,,14770,1139,24768,2673,,,35784000,,253,15023,
0001766,ソラスト,2020/03,10,0,50046,77634,,7105,12132,16125,583,50046,6033,,,94325700,,8,16133,
0001984,鈴与シンワート,2020/03,10,0,9193,11500,,1560,1863,1766,802,9193,235,,,3000000,,,1766,
0002031,コナミホールディングス,2020/03,10,0,278767,38747,,25000,10019,238758,47398,278767,35466,,,143500000,,,238758,
0002088,東京会館,2020/03,10,0,25391,11504,,430,9525,9258,3700,25391,69,,,3463943,,,9258,
0002099,白洋舎,2020/12,10,0,28845,29572,,7136,4385,5517,2410,28845,-1852,,,3900000,,,5517,
0002104,セコム,2020/03,10,0,947194,398929,,22565,,812878,66401,947194,90097,,,233293998,,,812878,
0002105,ＫＮＴ－ＣＴホールディングス,2020/03,10,0,69327,11138,,16370,,12446,8041,69327,-3719,,,27331013,,,12446,
0002310,伊藤忠テクノソリューションズ,2020/03,10,0,383736,424723,,,,216492,21763,383736,31264,,,240000000,,,216492,
0002388,モスフードサービス,2020/03,10,0,54713,50280,,,1825,41153,11412,54713,580,,,32009910,,,41153,
0002389,いであ,2020/12,10,0,26114,19423,,1025,100,17934,3173,26114,2109,,,7499025,,,17934,
0002397,綜合警備保障,2020/03,10,0,299151,243265,,29440,3430,206558,18675,299151,28516,,,102040042,,,206558,
0002496,ジャステック,2020/11,10,0,21688,17452,,,,17696,2238,21688,2109,,,18287000,,165,17861,
0002641,テンアライド,2020/03,10,0,8309,14567,,600,,4387,5257,8309,-795,,,26579527,,,4387,
0003006,アイネット,2020/03,10,0,27681,21979,,2853,5582,14002,3203,27681,1923,,,16242424,,,14002,
0003128,セコム上信越,2020/03,10,0,49443,21744,,,,43341,3530,49443,3864,,,13109501,,,43341,
0003255,アドソル日進,2020/03,10,0,7613,13315,,205,87,4436,524,7613,1235,,,9299460,,118,4554,
0003443,ビー・エム・エル,2020/03,10,0,91790,95002,,910,,59733,6045,91790,6956,,,44014726,,59,59792,
0003504,キーウェアソリューションズ,2020/03,10,0,6899,12360,,1256,93,3731,1737,6899,254,,,9110000,,,3731,
0003556,ラックランド,2020/12,10,0,22226,28250,,3262,3028,8628,3341,22226,-582,,,9709400,,6,8634,
0003740,ＩＤホールディングス,2020/03,10,0,10115,1058,,2099,249,7395,592,10115,327,,,12044302,,8,7403,
0003787,表示灯,2020/03,10,0,12065,13065,,39,18,5173,153,12065,1182,,,777449,,,5173,
0004000,学究社,2020/03,10,0,8631,9757,,905,1454,4035,1216,8631,1310,,,11212292,,,4035,
0004110,野村総合研究所,2020/03,10,0,479273,417495,,8067,91186,260051,20067,479273,96073,,,640000000,,636,260687,
0004459,ＳＣＳＫ,2020/03,10,0,346486,304637,,25000,30000,201551,21152,346486,34525,,,104181803,,30,201581,
0004802,クロスキャット,2020/03,10,0,4706,8257,,300,,2885,1000,4706,628,,,9210960,,,2885,
0004820,ＪＦＥシステムズ,2020/03,10,0,32861,42431,,,,17119,1390,32861,4215,,,7853000,,,17119,
0005161,ビケンテクノ,2020/03,10,0,33153,31827,,5983,8319,13337,1808,33153,1067,,,7718722,,,13337,
0005262,ＴＫＣ,2020/09,10,0,89767,63070,,,,74714,5700,89767,11073,,,26731033,,,74714,
0005290,富士ソフト,2020/12,10,0,190298,164094,,31962,19000,106020,26200,190298,10054,,,33700000,,155,106175,
0005422,インフォコム,2020/03,10,0,37511,23070,,,,23607,1590,37511,4635,,,57600000,,177,23784,
0005590,電通国際情報サービス,2020/12,10,0,88944,92234,,,,52640,8180,88944,9099,,,32591240,,,52640,
0005754,トランスコスモス,2020/03,10,0,108635,227643,,10007,,61354,29065,108635,5907,,,48794046,,,61354,
0005755,ビジネスブレイン太田昭和,2020/03,10,0,12826,15018,,1000,275,7680,2233,12826,1457,,,8000000,,,7680,
0005757,旭情報サービス,2020/03,10,0,10839,12055,,260,,8447,733,10839,1181,,,8264850,,,8447,
0005799,インテリジェント　ウェイブ,2020/06,10,0,10552,10920,,,,6983,843,10552,1074,,,26340000,,,6983,
0006550,スクウェア・エニックス・ホール,2020/03,10,0,122666,9801,,,,112145,24039,122666,7452,,,122531596,,608,112753,
0006742,アルトナー,2020/01,10,0,3801,7002,,,,2728,238,3801,893,,,10627920,,,2728,
0007220,グルメ杵屋,2020/03,10,0,26839,1933,,2926,9008,11949,5838,26839,-975,,,22610359,,,11949,
0007571,ソルクシーズ,2020/12,10,0,7899,9067,,961,743,4265,1494,7899,798,,,13410297,,1,4266,
0007633,船井総研ホールディングス,2020/12,10,0,17536,5589,,718,100,15408,3125,17536,2975,,,52500000,,646,16054,
0007649,ＮＳＤ,2020/03,10,0,53373,57593,,,,45536,7205,53373,8957,,,92344320,,,45536,
0007652,進学会ホールディングス,2020/03,10,0,28155,765,,2903,,24660,3984,28155,-962,,,20031000,,,24660,
0007675,吉野家ホールディングス,2020/02,10,0,103946,62018,,15590,25743,46847,10265,103946,-813,,,65129558,,,46847,
0007685,カプコン,2020/03,10,0,149533,68206,,15770,2606,94326,33239,149533,24080,,,135446488,,,94326,
0007687,松屋フーズホールディングス,2020/03,10,0,54456,4121,,2276,10628,39842,6655,54456,1856,,,19063968,,,39842,
0007790,スペース,2020/12,10,0,33675,39643,,,,28362,3395,33675,1926,,,26600319,,,28362,
