日経会社コード,企業名称,決算期,決算種別,連結基準,<貸借対照表（資産）>資産合計,<損益計算書（期首からの累計期間）>売上高・営業収益［累計］,<基本項目>純資産配当率［累計］,<貸借対照表（負債）>短期借入金・社債合計,<貸借対照表（負債）>長期借入金・社債・転換社債,<貸借対照表（純資産）>自己資本／親会社の所有者に帰属する資本,<貸借対照表（純資産）>資本金,<貸借対照表（純資産）>負債・純資産合計／資本及び負債合計,<損益計算書（期首からの累計期間）>税金等調整前当期純利益［累計］,<損益計算書（期首からの累計期間）>当期純利益（連結）［累計］,<【更新中止】連結剰余金計算書>（当期純利益）,<基本項目>期末発行済株式総数,<基本項目>期末発行済株式総数（遡及調整後）,<貸借対照表（純資産）>新株予約権,<貸借対照表（純資産）>純資産合計／資本合計,<貸借対照表（負債）>少数株主持分（米国会計基準）
0000169,オオバ,2000/05,10,0,24975,16456,,9257,3278,8625,1880,24975,266,,,16493041,,,,
0000169,オオバ,2001/05,10,0,19706,15062,,7068,3283,5513,1880,19706,-1466,,,15739041,,,,
0000169,オオバ,2002/05,10,0,16952,12945,,5676,2930,5432,1880,16952,62,,,15739041,,,,
0000169,オオバ,2003/05,10,0,15167,11949,,4496,2424,5228,2132,15167,-527,,,22739041,,,,
0000169,オオバ,2004/05,10,0,14159,11076,,4693,621,5464,2132,14159,123,,,22739041,,,,
0000169,オオバ,2005/05,10,0,13810,11197,,2576,2515,5379,2132,13810,113,,,22739041,,,,
0000169,オオバ,2006/05,10,0,13566,10972,,2130,2753,5611,2132,13566,156,,,22739041,,,,
0000169,オオバ,2007/05,10,0,11074,10129,,2443,1978,4689,2132,11074,159,,,22739041,,,4689,
0000169,オオバ,2008/05,10,0,11113,13287,,1452,2323,4701,2131,11113,358,,,18739041,,,4701,
0000169,オオバ,2009/05,10,0,9675,10562,,2195,1663,3877,2131,9675,-641,,,18739041,,3,3880,
0000169,オオバ,2010/05,10,0,9779,10524,,2408,1738,3864,2131,9779,133,,,18739041,,8,3872,
0000169,オオバ,2011/05,10,0,9845,10751,,2564,1797,3840,2131,9845,-19,,,18739041,,9,3849,
0000169,オオバ,2012/05,10,0,9898,10010,,2686,1630,3738,2131,9898,49,,,18739041,,15,3753,
0000169,オオバ,2013/05,10,0,11719,11801,,2225,2050,4360,2131,11719,288,,,18739041,,14,4374,
0000169,オオバ,2014/05,10,0,11547,13501,,1583,1677,4867,2131,11547,628,,,18739041,,24,4891,
0000169,オオバ,2015/05,10,0,11217,14803,,1239,1198,5759,2131,11217,859,,,18739041,,57,5816,
0000169,オオバ,2016/05,10,0,12414,14941,,2369,548,6076,2131,12414,904,,,18739041,,94,6170,
0000169,オオバ,2017/05,10,0,10654,15014,,626,665,6480,2131,10654,948,,,18602741,,69,6549,
0000169,オオバ,2018/05,10,0,10951,15496,,346,312,6974,2131,10951,1120,,,18602741,,97,7071,
0000169,オオバ,2019/05,10,0,12010,14908,,192,120,7878,2131,12010,2376,,,18602741,,153,8031,
0000169,オオバ,2020/05,10,0,12586,14580,,60,60,8159,2131,12586,1138,,,18250000,,230,8389,
0000740,リソルホールディングス,2000/03,10,0,25623,29304,,9352,2007,5578,2379,25623,294,,,37742000,,,,
0000740,リソルホールディングス,2001/03,10,0,25064,29028,,9723,1718,5563,2379,25064,149,,,37742000,,,,
0000740,リソルホールディングス,2002/03,10,0,22383,27948,,8485,1143,3275,2379,22383,-2221,,,37742000,,,,
